Doc ID,Title
0,'Ada Kapal Pesiar Terdampar di Pegunungan Mojokerto!'
1,"'Daripada Dipindah, Makam Pangeran Diponegoro Lebih Baik Diperbaiki'"
2,'Gunung Padang Itu Merupakan Piramida'
3,"'Jomblo nan Single' Sini ke Bandung, Ada Taman Khusus untuk Kamu"
4,"'Malioboro' Tasikmalaya Udah Cantik, Dihiasi Payung Makin Geulis"
5,"'Mana Candi Jokowi Yang Mana Candi Jokowi, Pak'"
6,"'Menara Eiffel' dari Sumedang, Destinasi Baru di Kota Tahu"
7,"'Pantai Halal' Paal di Likupang, Wisatawan Nggak Boleh Mabuk-mabukan"
8,'Rumah Kedua' Ini Wajib Dimiliki Keluarga Baduy
9,'Sekolah Sunyi di Desa Sunyi'
10,"10 Alasan Jogja Jadi Tempat Liburan yang Selalu Dirindukan, Simak Yuk!"
11,10 Destinasi Liburan untuk Cuti Bersama Idul Adha 2024 di Sekitar Jakarta
12,10 Destinasi Wisata Gadis Kretek
13,"10 Fakta Gunung Gede Pangrango dan Daya Tariknya, Pendaki Wajib Tahu!"
14,10 Fakta Unik Candi Borobudur yang Kini Disorot karena Harga Tiket Selangit
15,"10 Hotel Staycation Jakarta Mulai Rp 300 Ribuan, Ada Kolam Renang"
16,10 Mahakarya Arsitektur Rancangan Ridwan Kamil di Dalam dan Luar Negeri
17,"10 Objek Wisata Pangalengan, Cocok Untuk Healing"
18,10 Pantai Anyer dan Pantai Lainnya yang Berpasir Halus dan Bisa Main Air
19,10 Pantai Gunung Kidul yang Hits Beserta Upacara Adatnya
20,"10 Pantai Padang yang Memikat Hati, Cocok Didatangi Saat Liburan!"
21,"10 Pantai Terindah di Indonesia, Cocok buat Healing Saat Liburan"
22,"10 Penginapan Sekitar Dieng Dengan View Alam, Cocok Untuk Liburan!"
23,"10 Pesona Bukit Teletubbies di Indonesia, Ada di Sumatra hingga Papua"
24,"10 Puncak Gunung Tertinggi di Indonesia, Ada Gunung Kerinci!"
25,10 Rekomendasi Hotel di Bandung untuk Liburan Anak Sekolah
26,10 Rekomendasi Penginapan Glamping di Puncak dengan View Ciamik
27,10 Rekomendasi Tempat Bareng Keluarga Saat Natal dan Musim Liburan
28,10 Rekomendasi Tempat Makan-Bermain di Tangsel untuk Weekend Seru
29,10 Rekomendasi Tempat Tahun Baru 2024 di Jakarta yang Meriah
30,"10 Rekomendasi Tempat Wisata Gratis di PIK, Cocok jadi Destinasi Liburan!"
31,"10 Rekomendasi Tempat Wisata Malang saat Libur Idul Adha, Seru Lho!"
32,"10 Rekomendasi Villa Keluarga di Bandung, Cocok buat Liburan"
33,"10 Rekomendasi Wisata Boyolali, Mau Healing Hingga Belajar Sejarah Bisa!"
34,"10 Rekomendasi Wisata Gunungkidul, Ada Wisata Budayanya Juga"
35,10 Rekomendasi Wisata Keluarga untuk Mengisi Liburan Umanis Galungan
36,10 Rekomendasi Wisata yang Menarik di Jakarta Selatan
37,"10 Tempat Bersejarah di Surabaya Selatan dan Sekitarnya, Cocok untuk Edukasi!"
38,10 Tempat Hits di Tangerang Selatan untuk Long Weekend Seru
39,10 Tempat Kopi Hits di Kintamani Bali yang Wajib Dikunjungi
40,10 Tempat Ngopi di Puncak Malam Hari yang Asyik Buat Nongkrong
41,10 Tempat Nongkrong di Depok yang Asyik Buat Ngopi Bareng Teman
42,10 Tempat Nongkrong di Jakarta Selatan Buat yang 'Anak Jaksel' Banget!
43,10 Tempat Rekreasi di Kota Wisata Cibubur dan Sekitarnya
44,"10 Tempat Spa Terbaik di Jakarta, Cocok untuk Melepas Penat"
45,"10 Tempat Staycation Jakarta yang Murah, Ada Kolam Renangnya"
46,"10 Tempat Staycation Murah di Jakarta Selatan, Mulai Rp 270 Ribuan"
47,10 Tempat Wisata di Cirebon yang Terkenal dan Murah Meriah
48,"10 Tempat Wisata di Malang Raya untuk Libur Anak Sekolah, Gas Rek!"
49,"10 Tempat Wisata di Pulau Seribu, Cocok Buat Libur Lebaran Nih!"
50,10 Tempat Wisata di Solo Malam Hari 2023 yang Terkenal dan Instagramable
51,10 Tempat Wisata di Tangerang Selatan yang Hits 2024
52,"10 Tempat Wisata Kaliurang yang Populer Lokasi, Harga Tiket, Jam Buka"
53,10 Tempat Wisata Kota Tua Jakarta yang Wajib Dikunjungi Saat Liburan
54,"10 Tempat Wisata Malang, Ada Museum dan Tempat Kongkow"
